qui,uid,timestamp,question,isCorrect,hasViewedSource,hasViewedGame
01-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:54:31.996Z,1,TRUE,,
02-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:54:48.640Z,2,TRUE,,
03-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:55:04.088Z,3,,,
04-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:55:13.086Z,4,TRUE,,
05-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:55:31.335Z,5,TRUE,,
06-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:55:45.185Z,6,,,
07-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:55:52.983Z,7,TRUE,,
08-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:56:01.848Z,8,,,
09-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:56:14.080Z,9,,,
10-e66fa873-bbc2-4f43-9bad-9c41195dced5,e66fa873-bbc2-4f43-9bad-9c41195dced5,2024-03-23T10:56:27.077Z,10,TRUE,,